pruid,prname,prnameFR,date,update,numconf,numprob,numdeaths,numtotal,numtested,numtests,numrecover,percentrecover,ratetested,ratetests,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numteststoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7,raterecovered
35,Ontario,Ontario,2020-01-31,,3,0,0,3,,0,,,,,3,300.00,0.02,0.00,0,0.00,,,,100.00,3,0.02,,,,,,,,,,,,,0.00
59,British Columbia,Colombie-Britannique,2020-01-31,,1,0,0,1,,0,,,,,1,100.00,0.02,0.00,0,0.00,,,,100.00,1,0.02,,,,,,,,,,,,,0.00
1,Canada,Canada,2020-01-31,,4,0,0,4,,0,,,,,4,400.00,0.01,0.00,0,0.00,,,,100.00,4,0.01,,,,,,,,,,,,,0.00
35,Ontario,Ontario,2020-02-08,,3,0,0,3,,0,,,,,0,0.00,0.02,0.00,0,0.00,,,,100.00,3,0.02,,,,,,,,,,,,,0.00
59,British Columbia,Colombie-Britannique,2020-02-08,,4,0,0,4,,63,,,,12,3,300.00,0.08,0.00,0,0.00,,,,100.00,4,0.08,,,,,,,,,,,,,0.00
1,Canada,Canada,2020-02-08,,7,0,0,7,,63,,,,2,3,75.00,0.02,0.00,0,0.00,,,,100.00,7,0.02,,,,,,,,,,,,,0.00
35,Ontario,Ontario,2020-02-16,,3,0,0,3,,0,,,,,0,0.00,0.02,0.00,0,0.00,,,,100.00,3,0.02,,,,,,,,,,,,,0.00
59,British Columbia,Colombie-Britannique,2020-02-16,,5,0,0,5,,109,,,,21,1,25.00,0.10,0.00,0,0.00,,,,100.00,5,0.10,,,,,,,,,,,,,0.00
1,Canada,Canada,2020-02-16,,8,0,0,8,,109,,,,3,1,14.29,0.02,0.00,0,0.00,,,,100.00,8,0.02,,,,,,,,,,,,,0.00
35,Ontario,Ontario,2020-02-21,,3,0,0,3,,0,,,,,0,0.00,0.02,0.00,0,0.00,,,,100.00,3,0.02,,,,,,,,,,,,,0.00
59,British Columbia,Colombie-Britannique,2020-02-21,,6,0,0,6,,166,,,,32,1,20.00,0.12,0.00,0,0.00,,,,100.00,6,0.12,,,,,,,,,,,,,0.00
1,Canada,Canada,2020-02-21,,9,0,0,9,,166,,,,4,1,12.50,0.02,0.00,0,0.00,,,,100.00,9,0.02,,,,,,,,,,,,,0.00
35,Ontario,Ontario,2020-02-24,,4,0,0,4,,0,,,,,1,33.33,0.03,0.00,0,0.00,,,,100.00,4,0.03,,,,,,,,,,,,,0.00
59,British Columbia,Colombie-Britannique,2020-02-24,,6,0,0,6,,212,,,,41,0,0.00,0.12,0.00,0,0.00,,,,100.00,6,0.12,,,,,,,,,,,,,0.00
1,Canada,Canada,2020-02-24,,10,0,0,10,,212,,,,6,1,11.11,0.03,0.00,0,0.00,,,,100.00,10,0.03,,,,,,,,,,,,,0.00
35,Ontario,Ontario,2020-02-25,,4,0,0,4,,0,,,,,0,0.00,0.03,0.00,0,0.00,,,,100.00,4,0.03,,,,,,,,,,,,,0.00
59,British Columbia,Colombie-Britannique,2020-02-25,,7,0,0,7,,230,,,,45,1,16.67,0.14,0.00,0,0.00,,,,100.00,7,0.14,,,,,,,,,,,,,0.00
1,Canada,Canada,2020-02-25,,11,0,0,11,,230,,,,6,1,10.00,0.03,0.00,0,0.00,,,,100.00,11,0.03,,,,,,,,,,,,,0.00
35,Ontario,Ontario,2020-02-26,,5,0,0,5,,0,,,,,1,25.00,0.03,0.00,0,0.00,,,,100.00,5,0.03,,,,,,,,,,,,,0.00
59,British Columbia,Colombie-Britannique,2020-02-26,,7,0,0,7,,292,,,,57,0,0.00,0.14,0.00,0,0.00,,,,100.00,7,0.14,,,,,,,,,,,,,0.00
1,Canada,Canada,2020-02-26,,12,0,0,12,,292,,,,8,1,9.09,0.03,0.00,0,0.00,,,,100.00,12,0.03,,,,,,,,,,,,,0.00
35,Ontario,Ontario,2020-02-27,,6,0,0,6,,0,,,,,1,20.00,0.04,0.00,0,0.00,,,,100.00,6,0.04,,,,,,,,,,,,,0.00
59,British Columbia,Colombie-Britannique,2020-02-27,,7,0,0,7,,369,,,,72,0,0.00,0.14,0.00,0,0.00,,,,100.00,7,0.14,,,,,,,,,,,,,0.00
1,Canada,Canada,2020-02-27,,13,0,0,13,,369,,,,10,1,8.33,0.03,0.00,0,0.00,,,,100.00,13,0.03,,,,,,,,,,,,,0.00
35,Ontario,Ontario,2020-02-29,,8,0,0,8,,0,,,,,2,33.33,0.05,0.00,0,0.00,,,,100.00,8,0.05,,,,,,,,,,,,,0.00
59,British Columbia,Colombie-Britannique,2020-02-29,,7,0,0,7,,510,,,,99,0,0.00,0.14,0.00,0,0.00,,,,100.00,7,0.14,,,,,,,,,,,,,0.00
1,Canada,Canada,2020-02-29,,15,0,0,15,,510,,,,13,2,15.38,0.04,0.00,0,0.00,,,,100.00,15,0.04,,,,,,,,,,,,,0.00
35,Ontario,Ontario,2020-03-01,,15,0,0,15,,0,,,,,7,87.50,0.10,0.00,0,0.00,,,,100.00,15,0.10,,,,,,,,,,,,,0.00
59,British Columbia,Colombie-Britannique,2020-03-01,,8,0,0,8,,616,,,,120,1,14.29,0.16,0.00,0,0.00,,,,100.00,8,0.16,,,,,,,,,,,,,0.00
24,Quebec,Québec,2020-03-01,,1,0,0,1,,19,,,,2,1,100.00,0.01,0.00,0,0.00,,,,100.00,1,0.01,,,,,,,,,,,,,0.00
1,Canada,Canada,2020-03-01,,24,0,0,24,,635,,,,17,9,60.00,0.06,0.00,0,0.00,,,,100.00,24,0.06,,,,,,,,,,,,,0.00
35,Ontario,Ontario,2020-03-03,,20,0,0,20,,0,,,,,5,33.33,0.14,0.00,0,0.00,,,,100.00,20,0.14,,,,,,,,,,,,,0.00
59,British Columbia,Colombie-Britannique,2020-03-03,,12,0,0,12,,690,,,,134,4,50.00,0.23,0.00,0,0.00,,,,100.00,12,0.23,,,,,,,,,,,,,0.00
24,Quebec,Québec,2020-03-03,,1,0,0,1,,43,,,,5,0,0.00,0.01,0.00,0,0.00,,,,100.00,1,0.01,,,,,,,,,,,,,0.00
1,Canada,Canada,2020-03-03,,33,0,0,33,,733,,,,19,9,37.50,0.09,0.00,0,0.00,,,,100.00,33,0.09,,,,,,,,,,,,,0.00
35,Ontario,Ontario,2020-03-05,,22,0,0,22,,0,,,,,2,10.00,0.15,0.00,0,0.00,,,,100.00,22,0.15,,,,,,,,,,,,,0.00
59,British Columbia,Colombie-Britannique,2020-03-05,,21,0,0,21,,1045,,,,203,9,75.00,0.41,0.00,0,0.00,,,,100.00,21,0.41,,,,,,,,,,,,,0.00
24,Quebec,Québec,2020-03-05,,2,0,0,2,,54,,,,6,1,100.00,0.02,0.00,0,0.00,,,,100.00,2,0.02,,,,,,,,,,,,,0.00
1,Canada,Canada,2020-03-05,,45,0,0,45,,1099,,,,29,12,36.36,0.12,0.00,0,0.00,,,,100.00,45,0.12,,,,,,,,,,,,,0.00
35,Ontario,Ontario,2020-03-06,,28,0,0,28,,0,,,,,6,27.27,0.19,0.00,0,0.00,,,,100.00,28,0.19,,,,,,,,,,,,,0.00
59,British Columbia,Colombie-Britannique,2020-03-06,,21,0,0,21,,1313,,,,255,0,0.00,0.41,0.00,0,0.00,,,,100.00,21,0.41,,,,,,,,,,,,,0.00
24,Quebec,Québec,2020-03-06,,2,0,0,2,,82,,,,10,0,0.00,0.02,0.00,0,0.00,,,,100.00,2,0.02,,,,,,,,,,,,,0.00
1,Canada,Canada,2020-03-06,,51,0,0,51,,1395,,,,37,6,13.33,0.13,0.00,0,0.00,,,,100.00,51,0.13,,,,,,,,,,,,,0.00
35,Ontario,Ontario,2020-03-07,,28,0,0,28,,0,,,,,0,0.00,0.19,0.00,0,0.00,,,,100.00,28,0.19,,,,,,,,,,,,,0.00
59,British Columbia,Colombie-Britannique,2020-03-07,,27,0,0,27,,1655,,,,322,6,28.57,0.52,0.00,0,0.00,,,,100.00,27,0.52,,,,,,,,,,,,,0.00
24,Quebec,Québec,2020-03-07,,2,0,0,2,,112,,,,13,0,0.00,0.02,0.00,0,0.00,,,,100.00,2,0.02,,,,,,,,,,,,,0.00
1,Canada,Canada,2020-03-07,,57,0,0,57,,1767,,,,46,6,11.76,0.15,0.00,0,0.00,,,,100.00,57,0.15,,,,,,,,,,,,,0.00
35,Ontario,Ontario,2020-03-08,,31,0,0,31,,0,,,,,3,10.71,0.21,0.00,0,0.00,,,,100.00,31,0.21,,,,,,,,,,,,,0.00
59,British Columbia,Colombie-Britannique,2020-03-08,,27,0,1,27,,2478,,,,481,0,0.00,0.52,0.02,1,3.70,,,,96.30,26,0.51,,,,,,,,,,,,,0.00
24,Quebec,Québec,2020-03-08,,3,0,0,3,,161,,,,19,1,50.00,0.03,0.00,0,0.00,,,,100.00,3,0.03,,,,,,,,,,,,,0.00
48,Alberta,Alberta,2020-03-08,,1,0,0,1,,60,,,,14,1,100.00,0.02,0.00,0,0.00,,,,100.00,1,0.02,,,,,,,,,,,,,0.00
1,Canada,Canada,2020-03-08,,62,0,1,62,,2699,,,,71,5,8.77,0.16,0.00,1,1.61,,,,98.39,61,0.16,,,,,,,,,,,,,0.00
35,Ontario,Ontario,2020-03-09,,34,0,0,34,,0,,,,,3,9.68,0.23,0.00,0,0.00,,,,100.00,34,0.23,,,,,,,,,,,,,0.00
